Fp1_mean,Fp2_mean,F3_mean,F4_mean,C3_mean,C4_mean,P3_mean,P4_mean,O1_mean,O2_mean,F7_mean,F8_mean,T7_mean,T8_mean,P7_mean,P8_mean,Fz_mean,Cz_mean,Pz_mean,Fp1_std,Fp2_std,F3_std,F4_std,C3_std,C4_std,P3_std,P4_std,O1_std,O2_std,F7_std,F8_std,T7_std,T8_std,P7_std,P8_std,Fz_std,Cz_std,Pz_std,Fp1_min,Fp2_min,F3_min,F4_min,C3_min,C4_min,P3_min,P4_min,O1_min,O2_min,F7_min,F8_min,T7_min,T8_min,P7_min,P8_min,Fz_min,Cz_min,Pz_min,Fp1_max,Fp2_max,F3_max,F4_max,C3_max,C4_max,P3_max,P4_max,O1_max,O2_max,F7_max,F8_max,T7_max,T8_max,P7_max,P8_max,Fz_max,Cz_max,Pz_max,Fp1_peak_count,Fp1_peak_mean,Fp1_peak_std,Fp1_peak_min,Fp1_peak_max,Fp2_peak_count,Fp2_peak_mean,Fp2_peak_std,Fp2_peak_min,Fp2_peak_max,F3_peak_count,F3_peak_mean,F3_peak_std,F3_peak_min,F3_peak_max,F4_peak_count,F4_peak_mean,F4_peak_std,F4_peak_min,F4_peak_max,C3_peak_count,C3_peak_mean,C3_peak_std,C3_peak_min,C3_peak_max,C4_peak_count,C4_peak_mean,C4_peak_std,C4_peak_min,C4_peak_max,P3_peak_count,P3_peak_mean,P3_peak_std,P3_peak_min,P3_peak_max,P4_peak_count,P4_peak_mean,P4_peak_std,P4_peak_min,P4_peak_max,O1_peak_count,O1_peak_mean,O1_peak_std,O1_peak_min,O1_peak_max,O2_peak_count,O2_peak_mean,O2_peak_std,O2_peak_min,O2_peak_max,F7_peak_count,F7_peak_mean,F7_peak_std,F7_peak_min,F7_peak_max,F8_peak_count,F8_peak_mean,F8_peak_std,F8_peak_min,F8_peak_max,T7_peak_count,T7_peak_mean,T7_peak_std,T7_peak_min,T7_peak_max,T8_peak_count,T8_peak_mean,T8_peak_std,T8_peak_min,T8_peak_max,P7_peak_count,P7_peak_mean,P7_peak_std,P7_peak_min,P7_peak_max,P8_peak_count,P8_peak_mean,P8_peak_std,P8_peak_min,P8_peak_max,Fz_peak_count,Fz_peak_mean,Fz_peak_std,Fz_peak_min,Fz_peak_max,Cz_peak_count,Cz_peak_mean,Cz_peak_std,Cz_peak_min,Cz_peak_max,Pz_peak_count,Pz_peak_mean,Pz_peak_std,Pz_peak_min,Pz_peak_max,ID,Class
125.4765625,117.7421875,165.921875,139.75,161.0390625,129.140625,148.6875,141.1640625,151.0,142.953125,148.2421875,140.0703125,179.3515625,137.609375,143.6484375,144.2734375,150.71875,127.40625,139.2265625,220.57865791650838,212.33891517833976,222.06488409035543,236.63397430478065,245.68475423213852,207.3374796379044,231.48934942592456,184.288321577848,215.42519756990242,241.07054083701064,153.31213316207143,189.84777091023906,294.46392209379775,123.7360814967616,146.7300585302123,128.14390992584345,192.3562532116029,228.04994747490534,206.87541287990769,-371.0,-442.0,-315.0,-512.0,-499.0,-278.0,-351.0,-241.0,-351.0,-499.0,-204.0,-278.0,-719.0,-204.0,-241.0,-131.0,-301.0,-442.0,-336.0,719.0,613.0,678.0,860.0,752.0,678.0,715.0,568.0,604.0,788.0,568.0,678.0,715.0,384.0,457.0,420.0,719.0,754.0,613.0,34.0,295.55882352941177,173.63064096227043,-90.0,719.0,23.0,305.9130434782609,167.67901868787445,-19.0,613.0,33.0,355.8181818181818,177.20788246806467,-57.0,678.0,37.0,339.3783783783784,186.8598768771925,-55.0,860.0,37.0,354.8378378378378,192.70626204968764,-131.0,752.0,14.0,354.57142857142856,181.42086597810325,16.0,678.0,43.0,369.8837209302326,146.19025661903984,89.0,715.0,14.0,367.85714285714283,166.6141209685495,-20.0,568.0,19.0,397.10526315789474,154.39692345477343,89.0,604.0,19.0,389.36842105263156,173.8977953089009,89.0,788.0,29.0,317.58620689655174,104.24391729261194,126.0,568.0,26.0,336.88461538461536,136.40926173244443,52.0,678.0,9.0,445.0,174.39864933218058,89.0,715.0,16.0,307.8125,83.96890700580781,89.0,384.0,20.0,337.75,69.71145888589622,163.0,457.0,28.0,295.5357142857143,67.80090714882863,163.0,420.0,13.0,375.0,138.17547372258775,226.0,719.0,33.0,300.93939393939394,179.11329399148792,-19.0,754.0,12.0,443.3333333333333,89.4681818053522,332.0,613.0,v14p,ADHD
-38.3515625,-60.09375,133.7265625,111.265625,155.59375,143.203125,163.3671875,154.375,171.96875,151.875,111.0,97.0078125,164.09375,143.6796875,162.3125,153.796875,128.75,130.7421875,168.390625,676.2648177874307,689.8607806315296,244.17209352704884,308.30316617514984,257.9970834694458,264.333014713113,265.6386412662131,243.86332818742073,228.91696178680334,248.17075655574092,306.7780751644009,228.46262969429094,183.1108453721772,128.01149884335408,137.88667890870548,144.54551959245214,208.77520593732683,307.8486243741158,233.36653723020981,-2061.0,-2131.0,-462.0,-723.0,-425.0,-462.0,-388.0,-388.0,-388.0,-351.0,-756.0,-609.0,-278.0,-167.0,-204.0,-167.0,-336.0,-618.0,-371.0,825.0,684.0,641.0,649.0,825.0,641.0,936.0,788.0,678.0,715.0,641.0,604.0,604.0,531.0,457.0,420.0,578.0,754.0,613.0,31.0,220.70967741935485,617.4210250424034,-1744.0,825.0,17.0,424.94117647058823,196.1831289107301,50.0,684.0,32.0,307.6875,202.18469858955697,-131.0,641.0,44.0,302.3636363636364,264.91946382636667,-336.0,649.0,38.0,349.7368421052632,197.62892983016724,-94.0,825.0,12.0,395.9166666666667,197.63917388907382,-131.0,641.0,41.0,389.9024390243902,195.26827135745637,16.0,936.0,16.0,335.3125,264.3001888833037,-94.0,788.0,20.0,420.4,194.80308005778554,52.0,678.0,22.0,377.0,216.37551533471535,-131.0,715.0,30.0,322.3666666666667,235.12287331426427,-462.0,641.0,26.0,263.4230769230769,201.3968858282118,-94.0,604.0,11.0,360.09090909090907,140.53110593579342,163.0,604.0,16.0,328.3125,101.59276472146036,126.0,531.0,25.0,315.92,92.30207798310936,126.0,457.0,28.0,316.60714285714283,78.0852735730598,163.0,420.0,15.0,296.73333333333335,202.45508692601976,-90.0,578.0,27.0,318.8888888888889,281.9855963399724,-336.0,754.0,14.0,487.64285714285717,104.456147424141,226.0,613.0,v14p,ADHD
339.5546875,354.4296875,159.34375,170.5234375,143.8203125,166.671875,117.7421875,133.8984375,126.53125,142.2421875,191.9609375,200.8671875,130.5,145.3984375,144.7890625,141.3984375,142.9609375,165.078125,117.734375,340.21477256861925,345.2391544384586,207.53849609700057,224.63962267658732,210.83652037612228,163.82841558758057,233.2020261015207,139.92893808671172,169.01236676086822,161.864809251169,180.2105681024481,164.15416084023403,147.82837463239827,118.874600761478,129.35014144571917,131.94685996948576,168.90725229968407,201.83690341636898,140.45603366083026,-1146.0,-1216.0,-388.0,-583.0,-535.0,-351.0,-499.0,-278.0,-241.0,-241.0,-425.0,-425.0,-315.0,-167.0,-167.0,-241.0,-266.0,-442.0,-231.0,825.0,825.0,641.0,613.0,568.0,494.0,641.0,494.0,531.0,494.0,568.0,531.0,494.0,420.0,420.0,420.0,613.0,578.0,437.0,37.0,544.0540540540541,277.4685709931308,-794.0,825.0,23.0,570.6521739130435,229.4027422404711,-336.0,825.0,30.0,348.06666666666666,165.16677093841312,-94.0,641.0,42.0,362.9047619047619,147.94638821832748,-125.0,613.0,42.0,339.8095238095238,130.00773568472178,-57.0,568.0,14.0,367.7857142857143,97.06196737241669,163.0,494.0,48.0,319.2291666666667,157.74864494707677,-57.0,641.0,19.0,310.0,76.46051612640206,163.0,494.0,32.0,274.375,129.58895352228137,52.0,531.0,26.0,319.88461538461536,116.50926900171336,126.0,494.0,24.0,380.5416666666667,114.92097979578064,163.0,568.0,31.0,374.0967741935484,85.57975146354373,89.0,531.0,12.0,316.0833333333333,91.10841374733485,200.0,494.0,18.0,289.5,69.58627738282887,200.0,420.0,28.0,292.82142857142856,68.47056383764412,126.0,420.0,31.0,292.0967741935484,57.566990339003716,163.0,420.0,12.0,308.25,131.9217729060168,156.0,613.0,34.0,340.1470588235294,147.07903684612833,-55.0,578.0,17.0,275.88235294117646,80.11674008297199,156.0,437.0,v14p,ADHD
252.21875,275.8828125,166.1796875,173.8671875,158.1796875,146.3046875,177.75,170.171875,158.984375,157.53125,170.1953125,198.9375,25.734375,151.6953125,155.4609375,153.71875,171.6328125,149.109375,153.4453125,440.2692436336699,483.25720024850904,207.8744864187007,246.6445806237848,233.47449012024728,196.19356337189808,247.50044937523828,170.3639045988248,169.65397783394852,166.63992666069052,171.27681966405228,240.66652034661578,330.7632901103834,143.56641627959561,138.42567591832406,129.52979394596844,188.02219131441169,219.02490543944063,156.85139205774604,-442.0,-407.0,-278.0,-371.0,-462.0,-425.0,-351.0,-204.0,-278.0,-204.0,-241.0,-241.0,-1014.0,-278.0,-167.0,-131.0,-301.0,-336.0,-231.0,2092.0,2162.0,604.0,789.0,678.0,531.0,752.0,568.0,568.0,604.0,604.0,1083.0,568.0,531.0,457.0,420.0,613.0,649.0,543.0,32.0,365.96875,362.1031003366824,-160.0,2092.0,18.0,398.3888888888889,457.08218795224326,50.0,2162.0,32.0,341.03125,154.7929028522868,52.0,604.0,41.0,369.5853658536585,188.71968832491092,-55.0,789.0,40.0,383.7,156.9686592922294,16.0,678.0,11.0,376.8181818181818,131.21725093198975,52.0,531.0,49.0,382.1020408163265,167.6102433304852,52.0,752.0,18.0,371.3333333333333,134.9094346424873,163.0,568.0,30.0,327.1666666666667,117.44334331450585,89.0,568.0,19.0,366.2105263157895,112.84249803545154,200.0,604.0,29.0,324.0689655172414,129.01695452188545,89.0,604.0,23.0,362.7826086956522,191.05268031112328,52.0,1083.0,10.0,321.1,125.5145011542491,200.0,568.0,14.0,317.85714285714283,107.95558421529341,52.0,531.0,26.0,295.8076923076923,91.30928810736921,126.0,457.0,28.0,319.17857142857144,62.76660484424396,163.0,420.0,8.0,397.875,153.7794179173533,156.0,613.0,32.0,308.71875,184.87905410953806,-90.0,649.0,16.0,318.625,129.23035392275298,121.0,543.0,v14p,ADHD
47.4375,39.234375,145.8203125,120.3671875,158.671875,143.125,152.390625,141.1171875,163.5859375,153.2265625,123.6875,129.484375,285.0390625,170.421875,159.78125,146.328125,143.6015625,131.203125,164.1796875,382.3566120000509,420.89412670607476,213.72030561687964,223.82990135733397,223.6500750126179,143.17612082607613,257.10995945314914,159.51647514910823,239.00734767289865,198.36569326689508,169.47258389755373,284.38451247393795,191.61211649192686,172.89638285041104,170.95944803963232,136.93116319787987,221.11315875342498,169.2233002410962,223.7994544332626,-935.0,-970.0,-315.0,-371.0,-388.0,-204.0,-499.0,-278.0,-425.0,-315.0,-204.0,-499.0,-315.0,-204.0,-278.0,-204.0,-371.0,-301.0,-371.0,930.0,1071.0,604.0,649.0,604.0,457.0,715.0,494.0,752.0,715.0,494.0,1009.0,752.0,752.0,531.0,494.0,613.0,437.0,613.0,37.0,267.2432432432432,346.0154976536577,-653.0,930.0,23.0,267.7391304347826,394.9700282950819,-512.0,1071.0,35.0,303.74285714285713,181.5832501490539,-20.0,604.0,40.0,303.725,158.66095731149488,-90.0,649.0,43.0,358.83720930232556,156.2475570387713,-94.0,604.0,14.0,333.57142857142856,70.46652121571562,236.0,457.0,46.0,356.39130434782606,183.51584201973333,-20.0,715.0,26.0,300.11538461538464,109.65025761065426,16.0,494.0,32.0,321.53125,217.19892730729012,-131.0,752.0,23.0,327.4347826086956,153.0577686015988,16.0,715.0,38.0,268.36842105263156,124.4466533462667,52.0,494.0,25.0,307.12,266.95053024858373,-94.0,1009.0,7.0,509.7142857142857,128.9193704670972,347.0,752.0,15.0,337.1333333333333,170.20805569132804,163.0,752.0,26.0,311.4230769230769,156.6424574228061,16.0,531.0,31.0,294.51612903225805,85.55280239664177,126.0,494.0,11.0,367.09090909090907,168.2252032492886,-19.0,613.0,38.0,297.4736842105263,101.58163345235026,85.0,437.0,16.0,320.75,200.39320722020494,-19.0,613.0,v14p,ADHD
83.015625,73.3828125,159.828125,148.890625,151.625,161.8125,151.875,162.6796875,149.7109375,171.03125,159.8515625,110.265625,189.96875,111.734375,145.1171875,162.7109375,134.734375,161.4765625,135.84375,542.2921167704886,613.5807530306547,209.1753252252064,259.6593842265847,206.544917995109,162.4513858232841,211.08971112238578,148.44315084560972,160.37265423346284,170.60849585606138,187.19765501945656,270.64726977345765,152.81541217053467,119.42602127294795,148.90464216460578,135.79008535605217,170.94758990431683,187.89392068560983,138.9142622054859,-723.0,-829.0,-204.0,-301.0,-351.0,-204.0,-278.0,-131.0,-204.0,-167.0,-204.0,-315.0,-131.0,-204.0,-315.0,-94.0,-231.0,-231.0,-125.0,2021.0,2197.0,752.0,1001.0,678.0,715.0,604.0,494.0,678.0,494.0,788.0,1193.0,604.0,457.0,494.0,641.0,613.0,754.0,543.0,35.0,107.74285714285715,415.1165993072406,-407.0,2021.0,26.0,132.8846153846154,499.82345551843656,-583.0,2197.0,33.0,342.3333333333333,171.93333215834184,89.0,752.0,45.0,331.77777777777777,214.77221927623577,15.0,1001.0,44.0,339.34090909090907,134.4040623002516,16.0,678.0,15.0,309.93333333333334,166.362843073673,89.0,715.0,49.0,355.0204081632653,115.42742039665116,126.0,604.0,26.0,327.0,105.14861277844216,163.0,494.0,29.0,313.82758620689657,120.82363007222045,89.0,678.0,26.0,328.38461538461536,122.8658045070302,126.0,494.0,34.0,313.38235294117646,134.56313075716375,89.0,788.0,23.0,247.69565217391303,230.9615881450587,-20.0,1193.0,11.0,367.0,119.72240619639477,200.0,604.0,16.0,250.125,69.78437772882982,163.0,457.0,21.0,327.4761904761905,85.43592366302477,163.0,494.0,32.0,311.125,57.9260034440492,200.0,457.0,15.0,268.26666666666665,158.04365079165805,50.0,613.0,34.0,319.4117647058824,140.69201190733207,85.0,754.0,17.0,290.4117647058824,110.08449098628445,156.0,543.0,v14p,ADHD
140.0625,138.484375,140.0390625,115.8515625,151.8515625,146.078125,151.8203125,152.578125,142.328125,134.015625,143.21875,137.203125,134.328125,154.640625,152.4296875,144.015625,121.6171875,134.796875,134.21875,563.2943559952141,670.2816893374185,191.79822083956984,247.92493434183967,223.20902564949662,154.38149951251376,227.91024043335517,166.97921080347453,194.4346988480753,176.805822773277,165.20752578137336,258.29481292480165,183.82759422786967,120.29456853284748,177.55055545290153,152.74996214415037,151.15935800765826,174.8113655729071,178.15868965837,-1040.0,-1216.0,-351.0,-407.0,-388.0,-278.0,-388.0,-241.0,-425.0,-315.0,-241.0,-499.0,-204.0,-131.0,-241.0,-278.0,-266.0,-266.0,-336.0,1881.0,2127.0,531.0,719.0,678.0,494.0,715.0,678.0,568.0,568.0,531.0,862.0,568.0,457.0,678.0,604.0,473.0,543.0,508.0,36.0,274.22222222222223,523.5478918510973,-759.0,1881.0,19.0,269.10526315789474,648.4958219024475,-864.0,2127.0,34.0,342.47058823529414,113.09632419629209,126.0,531.0,46.0,294.32608695652175,191.5867443844133,-90.0,719.0,43.0,341.6511627906977,154.87412499081688,89.0,678.0,14.0,309.92857142857144,113.82346248574983,126.0,494.0,45.0,370.53333333333336,131.23441283105248,89.0,715.0,19.0,352.5263157894737,121.39555546405558,126.0,678.0,30.0,302.76666666666665,155.78118913684312,-57.0,568.0,25.0,308.6,134.3288502146877,16.0,568.0,24.0,346.8333333333333,95.58402353717673,163.0,531.0,27.0,305.962962962963,216.86785214716485,-131.0,862.0,12.0,307.0,159.45532289641508,89.0,568.0,17.0,325.1764705882353,70.43247520862688,200.0,457.0,25.0,307.04,143.91594213289923,52.0,678.0,27.0,310.1111111111111,82.62827662952576,163.0,531.0,15.0,313.0,109.72207313632627,121.0,473.0,32.0,290.0,126.79954652915758,85.0,543.0,16.0,336.1875,126.87110523578644,15.0,508.0,v14p,ADHD
190.203125,179.1875,162.4296875,175.7890625,137.78125,148.9296875,149.0234375,150.65625,166.1796875,147.984375,147.75,180.5625,78.53125,151.140625,152.546875,155.9765625,170.7890625,128.265625,155.3984375,632.6064612326585,716.1416055589833,217.6940236446794,279.874399623239,246.86264271873688,183.9636297328048,258.4917630647881,167.38838977508584,242.88720798886462,169.84049879085836,183.557839154204,276.11442766605717,188.52414526117522,132.31677180310024,145.0914921438183,131.2649220520048,219.64239555849235,234.8327092394502,182.5119709090295,-1075.0,-1181.0,-462.0,-583.0,-572.0,-388.0,-535.0,-462.0,-499.0,-278.0,-315.0,-425.0,-499.0,-204.0,-167.0,-131.0,-442.0,-512.0,-407.0,2092.0,2233.0,604.0,895.0,678.0,531.0,715.0,457.0,604.0,494.0,752.0,972.0,494.0,420.0,494.0,420.0,613.0,719.0,578.0,37.0,371.8378378378378,602.009810170292,-759.0,2092.0,22.0,416.77272727272725,645.57838280654,-759.0,2233.0,31.0,361.0967741935484,173.29358918930126,-167.0,604.0,39.0,359.79487179487177,231.93557676340492,-301.0,895.0,39.0,336.4102564102564,188.80538317357076,-167.0,678.0,11.0,407.09090909090907,83.45543671538346,273.0,531.0,44.0,375.29545454545456,163.97083714454925,16.0,715.0,20.0,339.55,94.86225540224099,163.0,457.0,31.0,356.38709677419354,192.28417770268325,-131.0,604.0,25.0,358.56,78.97294726676976,200.0,494.0,29.0,321.3448275862069,132.31761054165477,52.0,752.0,26.0,370.9230769230769,237.38526347187067,-131.0,972.0,8.0,319.125,86.02388839735158,236.0,494.0,16.0,298.375,86.13933117339604,52.0,420.0,24.0,319.125,99.87421776915201,89.0,494.0,32.0,320.375,51.47921303788549,163.0,420.0,14.0,434.85714285714283,140.38765571641628,85.0,613.0,26.0,334.65384615384613,181.73754159135265,-55.0,719.0,19.0,326.2105263157895,124.6825775814511,156.0,578.0,v14p,ADHD
139.4609375,144.09375,146.859375,132.875,173.40625,164.3125,167.6328125,145.1328125,179.125,141.9921875,173.8125,140.8125,214.03125,158.828125,155.1484375,138.2890625,144.84375,173.4921875,149.296875,161.2649750035441,125.68818043391113,166.38191217442747,188.35370479562172,193.29816377325014,155.9419309447323,220.9164473508883,139.86491633134455,167.13307442552815,157.69024236429294,145.44835650308607,139.9631982000758,130.4541997344143,100.8143307347525,126.33663877415755,128.63842706904967,119.37273310705766,170.64550888395445,141.2599301435946,-195.0,-160.0,-241.0,-301.0,-315.0,-204.0,-241.0,-167.0,-167.0,-204.0,-167.0,-167.0,-131.0,-57.0,-94.0,-94.0,-195.0,-195.0,-195.0,543.0,473.0,494.0,613.0,568.0,531.0,678.0,531.0,568.0,604.0,457.0,457.0,494.0,384.0,531.0,457.0,437.0,578.0,508.0,40.0,293.125,94.07050215131203,121.0,543.0,24.0,295.2083333333333,67.89635432448163,191.0,473.0,38.0,320.6842105263158,100.16515447871656,126.0,494.0,37.0,326.0810810810811,111.40148438488416,121.0,613.0,45.0,360.73333333333335,104.25063815418856,163.0,568.0,15.0,366.4,89.06012950061698,236.0,531.0,48.0,369.7291666666667,132.12474212894,89.0,678.0,20.0,317.3,89.1011223273871,163.0,531.0,33.0,326.75757575757575,108.07181403151539,163.0,568.0,27.0,312.6666666666667,104.97301240477637,126.0,604.0,31.0,326.51612903225805,90.93239990651045,163.0,457.0,31.0,294.51612903225805,73.5653630663244,126.0,457.0,15.0,386.06666666666666,54.392973402412515,310.0,494.0,13.0,290.0769230769231,51.54603847862837,236.0,384.0,25.0,305.52,70.19750422913908,200.0,531.0,28.0,294.2142857142857,65.66982191390564,200.0,457.0,16.0,281.25,91.31436086399553,121.0,437.0,33.0,355.2121212121212,123.37053269693173,50.0,578.0,19.0,317.05263157894734,83.36695905150819,191.0,508.0,v14p,ADHD
95.125,69.0625,172.2265625,142.8671875,145.8515625,148.0234375,169.6640625,164.1015625,154.9296875,180.78125,145.734375,139.953125,131.859375,144.828125,162.6484375,163.78125,104.546875,155.0859375,166.609375,725.834963129214,876.5537902742162,206.69343630534715,291.9596663734187,474.2600550753342,184.6021243871479,213.14045782375268,152.81164567092875,171.6837498945498,160.28262133115805,170.58253523951436,339.85427306316353,114.71640721642946,141.225296599463,154.88632305147382,133.1140614152265,208.86358654737563,198.05916666864067,137.66284469331265,-935.0,-1181.0,-241.0,-407.0,-1051.0,-241.0,-315.0,-167.0,-204.0,-167.0,-241.0,-351.0,-167.0,-131.0,-204.0,-167.0,-336.0,-301.0,-125.0,1916.0,2268.0,715.0,1071.0,899.0,678.0,568.0,678.0,604.0,568.0,568.0,1193.0,384.0,678.0,457.0,568.0,684.0,684.0,508.0,27.0,139.25925925925927,712.3337021052752,-653.0,1916.0,13.0,318.61538461538464,904.2863347125893,-759.0,2268.0,33.0,357.93939393939394,145.94767418370427,126.0,715.0,45.0,305.26666666666665,244.85191896781657,-19.0,1071.0,46.0,373.32608695652175,416.15951448138696,-756.0,899.0,15.0,317.3333333333333,184.92364790787454,52.0,678.0,48.0,374.4166666666667,116.77860701153939,126.0,568.0,22.0,336.72727272727275,104.24498323145157,163.0,678.0,33.0,315.6363636363636,123.27176633218025,89.0,604.0,25.0,363.08,119.64745546813772,163.0,568.0,24.0,333.0,138.05252623548762,52.0,568.0,22.0,321.8181818181818,326.7913758130485,-57.0,1193.0,12.0,313.0833333333333,48.84918684641082,236.0,384.0,18.0,277.27777777777777,110.99389650664759,163.0,678.0,25.0,304.12,127.38989598865366,52.0,457.0,29.0,329.0689655172414,65.45539730886124,236.0,568.0,11.0,328.6363636363636,186.5365051902577,121.0,684.0,33.0,314.75757575757575,181.39777658973333,15.0,684.0,17.0,338.0,92.96425625570545,191.0,508.0,v14p,ADHD
