experiment,model,input_unit,feature_count,train_row_count,validation_row_count,accuracy,precision,recall,f1_score,tn,fp,fn,tp,note
baseline_01,LogisticRegression,single_eeg_row,19,1435384,364118,0.6015385122405374,0.6016580413356627,0.9996668233661794,0.7511999547283961,1,145014,73,219030,19개 EEG 채널의 한 시점을 한 샘플로 학습
baseline_02,LogisticRegression,single_eeg_row,19,1435384,364118,0.6015275267907656,0.6016536644324799,0.9996485671122713,0.7511913887331237,1,145014,77,219026,구간 단위로 묶기전 표준화만 진행후 학습 평가
baseline_03,LogisticRegression,128_row_window,38,11175,2836,0.6886459802538787,0.7193823216187434,0.7914469830111306,0.7536959553695955,602,527,356,1351,128행 구간 평균.표준편차 특징으로 학습 (표준화x)
baseline_04,LogisticRegression,128_row_window,76,11175,2836,0.6900564174894217,0.7254901960784313,0.7803163444639719,0.7519051651143099,625,504,375,1332,128행 구간 평균·표준편차·최소·최대 특징으로 학습 (표준화x)
baseline_05,LogisticRegression,128_row_window,76,11175,2836,0.6893511988716502,0.7242128121606949,0.7814879906268307,0.7517610594533671,621,508,373,1334,128행 구간 평균·표준편차·최소·최대 특징으로 학습 (StandardScaler 적용)
RandomForest_01,RandomForest,128_row_window,76,11175,2836,0.6354019746121298,0.6917378917378917,0.7111892208553017,0.7013287117273252,588,541,493,1214,random forest모델로 변경
SVC_01,SVC,128_row_window,76,11175,2836,0.6791255289139634,0.7294185377086931,0.7422378441710603,0.7357723577235772,659,470,440,1267,SVC모델로 변경
baseline_peak500_01,LogisticRegression,128_row_window_peak,171,11175,2836,0.6960507757404796,0.7124183006535948,0.8301113063854716,0.7667748917748918,557,572,290,1417, prominence500 피크 특징 추출후 기본모델로 재학습
baseline_peak300_01,LogisticRegression,128_row_window_peak300,171,11175,2836,0.764456981664316,0.7715629900679561,0.8646748681898067,0.8154696132596685,692,437,231,1476,prominence300 피크 특징 추출후 기본모델로 재학습
baseline_peak1000_01,LogisticRegression,128_row_window_peak1000,171,11175,2836,0.6717207334273625,0.7172452407614781,0.7504393673110721,0.7334669338677354,624,505,426,1281,prominence1000 피크 특징 추출후 기본모델로 재학습
baseline_peak200_01,LogisticRegression,128_row_window_peak200,171,11175,2836,0.8169957686882934,0.8296337402885683,0.8758055067369654,0.8520946138500998,822,307,212,1495,prominence200 피크 특징 추출후 기본모델로 재학습
baseline_peak100_01,LogisticRegression,128_row_window_peak100,171,11175,2836,0.7559943582510579,0.8205938092229943,0.7609841827768014,0.7896656534954407,845,284,408,1299,prominence100 피크 특징 추출후 기본모델로 재학습
baseline_peak150_01,LogisticRegression,128_row_window_peak150,171,11175,2836,0.7789139633286318,0.8264812575574365,0.8008201523140012,0.813448378458792,842,287,340,1367,prominence150 피크 특징 추출후 기본모델로 재학습
baseline_peak250_01,LogisticRegression,128_row_window_peak250,171,11175,2836,0.7916078984485191,0.7996777658431794,0.872290568248389,0.8344073970299803,756,373,218,1489,prominence250 피크 특징 추출후 기본모델로 재학습
baseline_peak200_02,LogisticRegression,128_row_window_peak200,171,11175,2836,0.8169957686882934,0.8296337402885683,0.8758055067369654,0.8520946138500998,822,307,212,1495,prominence200 피크 특징 추출후 기본모델로 재학습
RandomForest_peak200_01,RandomForest,128_row_window_peak200,171,11175,2836,0.7150916784203103,0.7693229478729778,0.7521968365553603,0.7606635071090048,744,385,423,1284,prominence200 피크 특징 추출후 RandomForest로 재학습
SVC_peak200_01,SVC,128_row_window_peak200,171,11175,2836,0.7147390691114246,0.7647405660377359,0.7598125366139425,0.7622685865412872,730,399,410,1297,prominence200 피크 특징 추출후 SVC로 재학습
